Loan Number,Country / Economy,Region,Loan Type,Loan Status,Board Approval Date,Original Principal Amount (US$),Cancelled Amount (US$),Disbursed Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),Agreement Signing Date,Effective Date (Most Recent),Last Disbursement Date
LOAN-1159,Mexico,East Asia,Climate,Disbursing&Repaying,2014-04-28,252294939.0,0.0,194659100.29,59599421.35,39799909.7,2014-01-20,2014-12-18,2018-01-28
LOAN-1160,Ghana,Europe & Central Asia,Investment,Repaying,2006-04-27,339182473.37,0.0,222263801.86,93311969.59,85000401.74,2006-04-05,2006-10-22,2015-10-03
LOAN-1161,Colombia,Latin America,Agriculture,Disbursing&Repaying,2014-01-10,577798082.08,0.0,577798082.08,423023345.54,433529788.76,2013-11-21,2014-10-22,2026-05-23
LOAN-1162,Egypt,East Asia,Agriculture,Fully Repaid,2010-10-19,528050019.84,0.0,421329113.98,34146274.89,182141158.33,2010-05-13,2011-05-17,2012-09-16
LOAN-1163,Brazil,Africa,Investment,Cancelled,2000-05-13,299462051.1,137320318.43,299462051.1,176333447.34,120665280.8,2000-02-26,2000-12-16,2010-03-25
LOAN-1164,Ghana,South Asia,Health,Disbursing,2017-04-30,243346064.5,0.0,208359060.76,36502376.29,113135769.72,2016-12-26,2018-03-07,2024-06-03
LOAN-1165,Indonesia,Latin America,Agriculture,Effective,2006-06-21,585174275.17,0.0,418471565.74,299377698.98,178076709.72,2006-01-08,2007-04-07,2016-04-17
LOAN-1166,Peru,South Asia,Health,Fully Repaid,2006-09-06,31955494.72,0.0,16285449.98,4881345.97,12951821.26,2006-04-18,2006-12-16,2014-11-09
LOAN-1167,Vietnam,Latin America,Health,Cancelled,2022-11-12,238807979.78,117949169.59,213303380.67,161756855.7,118280038.16,2022-06-11,2023-05-14,2034-05-03
LOAN-1168,India,Africa,Health,Disbursing&Repaying,2001-03-12,202087558.18,0.0,98554802.36,36946839.53,56737774.5,2000-11-01,2001-08-24,2007-02-13
LOAN-1169,Brazil,Europe & Central Asia,Climate,Fully Repaid,2006-08-18,290867026.31,0.0,238332330.27,154693067.11,183523887.48,2006-06-07,2006-10-03,2020-04-16
LOAN-1170,Indonesia,Latin America,Health,Fully Repaid,2022-07-05,16267733.67,0.0,10589546.09,1443229.46,9238042.44,2022-02-25,2022-09-04,2026-06-05
LOAN-1171,Peru,Latin America,Health,Repaying,2020-08-14,338727629.88,0.0,338727629.88,145833722.45,112667103.98,2020-05-09,2021-06-19,2029-05-21
LOAN-1172,Nigeria,Europe & Central Asia,Climate,Effective,2012-12-18,293087160.51,0.0,293087160.51,73595873.11,80269061.7,2012-10-16,2014-01-05,2024-10-01
LOAN-1173,Vietnam,East Asia,Education,Disbursing,2024-05-13,212537888.65,0.0,212537888.65,152148397.49,54216960.06,2024-01-23,2024-12-05,2028-06-20
LOAN-1174,Nepal,South Asia,Agriculture,Effective,2021-06-28,176140053.26,0.0,171087128.84,53332505.24,67247116.59,2021-04-28,2022-04-29,2028-05-23
LOAN-1175,Jordan,Africa,Agriculture,Disbursing&Repaying,2023-10-27,86677408.11,0.0,77363194.9,40859174.01,20095596.16,2023-05-07,2024-03-24,2025-10-26
LOAN-1176,Indonesia,East Asia,Education,Cancelled,2007-01-31,201524705.97,119249358.65,156770729.16,96111867.99,30853488.04,2006-09-22,2007-11-01,2012-05-17
LOAN-1177,Nepal,Africa,Climate,Repaying,2024-01-02,174822128.07,0.0,78203194.61,54105075.25,94268295.55,2023-06-21,2024-02-20,2028-10-01
LOAN-1178,Colombia,Latin America,Investment,Repaying,2012-12-25,560683953.29,0.0,240573717.57,181051660.81,359381858.41,2012-12-13,2013-06-25,2026-07-17
LOAN-1179,Indonesia,Africa,Education,Repaying,2022-08-14,174314183.15,0.0,174314183.15,85234482.0,73287664.23,2022-05-27,2022-12-20,2025-12-18
LOAN-1180,Vietnam,Latin America,Health,Effective,2013-03-26,440015944.12,0.0,404211085.94,261418813.24,26648750.18,2012-09-25,2013-08-01,2017-12-27
LOAN-1181,Bangladesh,East Asia,Infrastructure,Repaying,2021-06-01,311591992.08,0.0,146258232.43,88095760.35,58761856.5,2021-03-20,2021-07-04,2028-02-01
LOAN-1182,Bangladesh,Latin America,Infrastructure,Cancelled,2000-07-06,270807635.47,160374995.29,166166336.09,49295366.04,131841495.94,2000-01-01,2000-12-03,2002-09-22
LOAN-1183,Indonesia,East Asia,Climate,Disbursing&Repaying,2013-12-13,187549773.49,0.0,135848544.54,61440007.16,135286924.31,2013-11-03,2014-12-05,2021-05-21
LOAN-1184,Ghana,Europe & Central Asia,Education,Cancelled,2016-10-04,136405297.78,84730119.88,136405297.78,58703889.98,53366390.9,2016-05-27,2017-08-05,2022-06-24
LOAN-1185,Philippines,Europe & Central Asia,Investment,Disbursing,2005-01-12,524515359.8,0.0,244159930.53,98170159.63,303077874.75,2004-08-15,2005-10-27,2010-05-22
LOAN-1186,Jordan,Latin America,Investment,Disbursing&Repaying,2021-12-04,102899608.17,0.0,102899608.17,40918697.77,57646565.47,2021-07-17,2022-08-19,2023-12-29
LOAN-1187,Egypt,Latin America,Education,Effective,2000-12-22,310382466.7,0.0,237578776.82,12345330.41,123154712.65,2000-10-08,2001-01-22,2006-09-07
LOAN-1188,Kenya,South Asia,Investment,Disbursing,2021-03-05,257099943.94,0.0,246895107.9,120249559.56,24473786.77,2020-12-12,2021-10-30,2026-01-12
LOAN-1189,Morocco,East Asia,Investment,Fully Repaid,2016-11-06,227804247.78,0.0,227804247.78,91960797.7,168082245.02,2016-05-06,2017-11-09,2029-10-06
LOAN-1190,Morocco,Africa,Investment,Repaying,2000-02-26,75586734.53,0.0,75586734.53,26739016.61,10998649.59,1999-12-02,2000-11-19,2013-03-09
LOAN-1191,Colombia,Europe & Central Asia,Investment,Repaying,2005-01-22,230669498.48,0.0,134648995.48,55820457.94,38369801.94,2004-07-27,2005-09-23,2006-03-26
LOAN-1192,Philippines,Latin America,Climate,Disbursing,2010-12-23,45038087.22,0.0,39415321.54,15836956.36,24951898.74,2010-12-02,2011-08-15,2021-08-22
LOAN-1193,Philippines,Europe & Central Asia,Climate,Effective,2010-07-03,134275180.06,0.0,134275180.06,6821129.67,57459288.39,2010-01-27,2011-01-12,2018-07-07
LOAN-1194,Philippines,Africa,Health,Effective,2002-09-25,526373701.69,0.0,526373701.69,246935562.25,189584097.64,2002-04-17,2003-01-22,2013-02-18
LOAN-1195,Jordan,East Asia,Climate,Cancelled,2014-04-19,32896037.69,14796466.04,22222321.65,12866378.87,11048659.75,2014-03-02,2014-10-19,2023-07-24
LOAN-1196,Mexico,Europe & Central Asia,Health,Fully Repaid,2002-08-02,286743698.15,0.0,286743698.15,77610845.6,166507075.63,2002-04-09,2003-04-02,2015-11-27
LOAN-1197,Peru,Latin America,Investment,Fully Repaid,2016-08-23,236109334.04,0.0,142609215.27,42388691.72,25807417.23,2016-03-29,2017-09-27,2021-09-26
LOAN-1198,Brazil,Africa,Education,Cancelled,2009-09-25,229414945.1,74636356.29,202797203.91,7218120.07,23994106.78,2009-06-22,2010-03-29,2010-11-24
LOAN-1199,Pakistan,Latin America,Education,Repaying,2009-03-04,577436145.89,0.0,285168549.6,256541849.52,236281476.06,2008-12-23,2010-01-10,2017-03-16
LOAN-1200,Nepal,East Asia,Investment,Fully Repaid,2020-11-26,282419024.2,0.0,259536607.94,72042186.13,90298812.76,2020-05-16,2021-08-23,2028-11-27
LOAN-1201,Pakistan,Africa,Health,Disbursing,2011-09-12,191188601.23,0.0,83467658.53,64910824.64,115848684.14,2011-04-06,2012-08-03,2021-11-18
LOAN-1202,Nepal,Latin America,Infrastructure,Cancelled,2015-02-21,121734110.72,80103038.3,71094534.6,36458028.2,28521999.3,2014-10-09,2016-03-27,2026-12-18
LOAN-1203,Egypt,Latin America,Climate,Repaying,2024-04-26,440999481.03,0.0,300647398.38,37870350.75,202819959.55,2024-04-01,2025-02-18,2025-11-24
LOAN-1204,Kenya,South Asia,Investment,Disbursing&Repaying,2006-10-10,459781611.93,0.0,335600933.38,254482914.05,102795694.14,2006-08-06,2007-07-25,2017-10-27
LOAN-1205,Ghana,South Asia,Investment,Fully Repaid,2000-09-14,372611965.35,0.0,347797418.29,192981457.9,153666335.28,2000-04-21,2001-07-23,2010-10-01
LOAN-1206,India,South Asia,Agriculture,Disbursing&Repaying,2019-04-25,320003499.87,0.0,198335797.92,174482231.83,20114443.42,2019-03-19,2019-07-13,2031-11-23
LOAN-1207,Morocco,Latin America,Infrastructure,Fully Repaid,2003-07-18,119199573.91,0.0,97882492.88,71815695.11,29858724.73,2003-03-27,2004-04-08,2017-01-13
LOAN-1208,Philippines,Latin America,Investment,Disbursing&Repaying,2001-06-03,183484911.0,0.0,183484911.0,13312789.32,145642254.33,2001-02-10,2002-01-13,2010-09-13
LOAN-1209,Jordan,East Asia,Health,Fully Repaid,2014-11-10,38388388.78,0.0,15645577.03,2413255.44,16310988.19,2014-10-07,2015-09-06,2016-08-19
LOAN-1210,Philippines,Latin America,Health,Disbursing,2012-07-29,541257410.62,0.0,516267647.96,263351086.62,137112025.23,2012-02-26,2013-07-30,2014-02-18
LOAN-1211,Mexico,Africa,Infrastructure,Fully Repaid,2003-06-14,14316566.64,0.0,8099261.03,1051060.58,9527933.6,2003-04-24,2004-04-27,2009-08-30
LOAN-1212,Bangladesh,Europe & Central Asia,Health,Disbursing&Repaying,2003-07-08,202379254.57,0.0,202379254.57,25490787.24,160154536.94,2002-12-20,2004-01-31,2005-07-16
LOAN-1213,Indonesia,East Asia,Infrastructure,Cancelled,2017-10-17,143125682.61,31169252.12,65954403.79,35922189.29,73051194.58,2017-07-30,2018-07-04,2029-08-14
LOAN-1214,Philippines,Africa,Health,Fully Repaid,2003-11-05,334057446.35,0.0,233954325.39,39108755.19,163489832.47,2003-08-12,2004-04-09,2006-04-25
LOAN-1215,Kenya,Africa,Investment,Effective,2016-03-06,96761473.5,0.0,93794933.52,53511021.98,58515675.41,2016-02-02,2016-04-07,2023-11-30
LOAN-1216,Egypt,Africa,Education,Cancelled,2022-12-26,458001162.26,119985200.92,220658150.09,17336561.22,170941897.54,2022-11-24,2023-07-25,2036-03-27
LOAN-1217,Kenya,Europe & Central Asia,Climate,Fully Repaid,2003-10-19,360836059.69,0.0,237987353.58,82513577.21,97023589.19,2003-05-19,2004-03-21,2017-06-12
LOAN-1218,Peru,Latin America,Agriculture,Repaying,2002-11-02,412763015.12,0.0,221076447.2,53506484.14,103729449.91,2002-07-04,2003-04-22,2013-02-06
LOAN-1219,Nepal,East Asia,Education,Fully Repaid,2008-10-08,470686641.38,0.0,324255994.22,275552765.31,278022638.6,2008-09-01,2009-01-15,2016-06-03
LOAN-1220,India,East Asia,Climate,Effective,2019-04-26,202669243.11,0.0,181622802.28,131434758.24,60224439.81,2018-11-15,2019-08-03,2026-11-16
LOAN-1221,Vietnam,Europe & Central Asia,Climate,Effective,2013-01-27,568630958.6,0.0,318820683.09,90151315.49,439796792.36,2012-07-24,2014-01-16,2024-11-27
LOAN-1222,Philippines,Africa,Health,Cancelled,2008-12-17,228752904.88,182626930.2,228752904.88,80896547.12,30976773.11,2008-10-22,2009-12-31,2022-02-13
LOAN-1223,India,East Asia,Climate,Disbursing,2018-05-09,566070074.67,0.0,321368576.58,230715954.4,381226320.38,2017-12-23,2018-08-18,2025-12-18
LOAN-1224,Philippines,Africa,Health,Cancelled,2021-06-30,396904466.28,174829693.2,385866201.03,274030247.65,41863042.81,2021-02-11,2022-07-19,2031-09-12
LOAN-1225,Jordan,South Asia,Investment,Disbursing&Repaying,2003-10-24,475478945.64,0.0,326950541.67,263506234.96,215239566.39,2003-08-12,2004-10-24,2012-08-05
LOAN-1226,Mexico,Europe & Central Asia,Investment,Effective,2019-04-23,31356532.65,0.0,31356532.65,19118852.66,10965796.81,2019-04-11,2019-07-12,2025-12-06
LOAN-1227,Philippines,Europe & Central Asia,Education,Effective,2017-07-18,449377551.44,0.0,380350792.7,235398332.7,96963902.87,2017-01-16,2018-06-14,2029-08-03
LOAN-1228,Morocco,Africa,Climate,Disbursing,2005-03-16,598633121.62,0.0,470655457.72,125142108.28,443234343.78,2005-01-29,2005-10-10,2013-01-08
LOAN-1229,Vietnam,East Asia,Infrastructure,Disbursing&Repaying,2020-04-17,471640648.53,0.0,385279408.44,120773639.02,58114274.71,2020-03-21,2020-10-17,2022-02-12
LOAN-1230,Indonesia,South Asia,Health,Disbursing&Repaying,2010-12-10,510262104.79,0.0,468612436.98,285584321.66,88410854.25,2010-10-17,2011-10-18,2015-05-09
LOAN-1231,Vietnam,Europe & Central Asia,Education,Repaying,2019-05-21,258689783.25,0.0,199098865.19,142949044.93,135118909.46,2019-05-04,2020-04-29,2024-08-18
LOAN-1232,Egypt,Europe & Central Asia,Health,Disbursing&Repaying,2002-10-22,260583940.46,0.0,105161264.04,20329406.93,67428341.58,2002-09-16,2003-08-22,2007-10-27
LOAN-1233,Ghana,Africa,Health,Disbursing&Repaying,2014-01-21,122259193.71,0.0,60049311.76,36247643.24,50995897.12,2013-10-04,2014-12-29,2023-09-06
LOAN-1234,Indonesia,Africa,Climate,Effective,2003-10-20,214431030.03,0.0,164316025.69,25514131.73,119050316.67,2003-09-06,2004-04-27,2007-04-07
LOAN-1235,Philippines,Africa,Health,Cancelled,2006-03-08,74584597.86,32088231.54,52108145.69,6629338.41,25459262.44,2006-01-10,2006-12-12,2019-01-21
LOAN-1236,Mexico,Europe & Central Asia,Infrastructure,Cancelled,2002-05-28,104284986.68,80414692.41,65810899.12,11081813.19,71069061.96,2002-01-14,2002-09-04,2007-08-08
LOAN-1237,Bangladesh,Europe & Central Asia,Agriculture,Fully Repaid,2021-12-02,305735621.74,0.0,243358180.04,149963882.06,110591553.24,2021-11-01,2022-10-17,2023-06-07
LOAN-1238,Philippines,Africa,Health,Cancelled,2022-03-21,24453576.68,12385335.26,14180011.26,3684013.42,15541596.55,2021-10-16,2022-06-17,2029-01-17
LOAN-1239,Jordan,Africa,Investment,Repaying,2019-01-26,327515810.57,0.0,327515810.57,224022032.07,124791690.37,2018-07-12,2020-01-25,2025-06-10
LOAN-1240,Nepal,South Asia,Agriculture,Disbursing,2010-08-18,272590743.98,0.0,185051383.55,136023079.2,103394330.92,2010-02-01,2011-07-15,2019-04-25
LOAN-1241,Colombia,Latin America,Health,Cancelled,2015-09-26,371609963.87,136994388.98,371609963.87,272084223.53,243062782.67,2015-05-02,2016-01-20,2023-10-25
LOAN-1242,Nepal,Africa,Education,Disbursing,2006-01-30,345777669.99,0.0,345777669.99,160085894.47,250729082.23,2006-01-05,2006-07-20,2009-09-30
LOAN-1243,Morocco,Latin America,Agriculture,Fully Repaid,2021-12-15,92014848.84,0.0,60516083.72,13482939.04,62815477.12,2021-07-11,2022-12-03,2028-10-20
LOAN-1244,Colombia,East Asia,Climate,Cancelled,2012-06-24,273935074.92,208684197.12,248432325.03,196786368.24,32823198.73,2012-03-12,2013-03-13,2024-03-31
LOAN-1245,Vietnam,Europe & Central Asia,Investment,Fully Repaid,2016-01-26,6471485.66,0.0,6471485.66,4267631.73,3871235.95,2015-09-02,2016-09-15,2021-10-10
LOAN-1246,Colombia,Latin America,Infrastructure,Repaying,2021-10-08,299355393.8,0.0,197063296.72,50297207.84,137848040.34,2021-04-07,2021-12-01,2023-08-15
LOAN-1247,Indonesia,East Asia,Climate,Fully Repaid,2009-01-27,14687404.66,0.0,14687404.66,2088331.03,5763170.18,2008-12-15,2010-01-24,2016-08-30
LOAN-1248,Mexico,Africa,Investment,Disbursing&Repaying,2007-06-04,60537290.79,0.0,41670741.61,3091072.17,33197536.9,2007-02-13,2008-05-19,2015-02-04
LOAN-1249,Philippines,East Asia,Health,Repaying,2010-02-22,395013710.89,0.0,380381783.58,371889.12,161009575.95,2009-08-22,2010-11-06,2011-03-05
LOAN-1250,India,Africa,Education,Disbursing,2010-04-09,491179871.01,0.0,491179871.01,186688893.17,73250323.8,2010-03-08,2010-06-30,2013-05-28
LOAN-1251,Vietnam,Africa,Investment,Repaying,2006-05-29,529188452.01,0.0,269729172.17,187762370.37,325381230.72,2006-01-04,2007-04-12,2007-06-02
LOAN-1252,Mexico,East Asia,Agriculture,Cancelled,2019-11-05,213956692.7,53919829.5,122050388.88,82193852.22,158310963.05,2019-10-01,2020-02-14,2023-06-05
LOAN-1253,Bangladesh,Africa,Health,Disbursing,2011-02-17,578132982.78,0.0,376713148.14,47408283.57,148999752.37,2010-09-07,2012-01-20,2018-05-05
LOAN-1254,India,Africa,Agriculture,Disbursing&Repaying,2002-06-13,127240202.3,0.0,112676479.06,19130423.43,43746869.0,2002-01-28,2003-01-26,2005-10-18
LOAN-1255,Philippines,East Asia,Agriculture,Effective,2014-03-13,384658986.28,0.0,175715918.18,140546741.82,22714212.88,2013-11-24,2015-01-28,2024-06-15
LOAN-1256,Ghana,Europe & Central Asia,Investment,Disbursing,2003-01-11,411350519.16,0.0,411350519.16,353353257.41,258235690.19,2002-10-26,2003-05-31,2004-09-28
LOAN-1257,Brazil,East Asia,Investment,Disbursing&Repaying,2018-01-16,306433309.54,0.0,276665322.76,124760586.38,110798316.17,2017-07-27,2018-11-16,2030-12-03
LOAN-1258,Morocco,Africa,Infrastructure,Repaying,2024-01-23,54740258.9,0.0,25356632.17,21016397.61,42737638.13,2023-10-05,2024-12-18,2026-05-13
LOAN-1259,Nepal,East Asia,Education,Fully Repaid,2005-03-15,439325234.57,0.0,439325234.57,22895588.2,50372855.14,2004-09-30,2006-02-19,2007-04-04
LOAN-1260,Nepal,Latin America,Health,Effective,2023-06-17,76068589.11,0.0,73506635.98,46408388.9,13150317.27,2022-12-05,2023-11-26,2028-01-09
LOAN-1261,Ghana,Latin America,Education,Disbursing,2015-01-10,451116948.54,0.0,451116948.54,297575800.66,62498887.98,2014-10-23,2015-11-04,2017-04-12
LOAN-1262,Nigeria,Europe & Central Asia,Infrastructure,Cancelled,2007-06-27,378382035.57,111390369.63,301539475.89,138618810.2,34651974.49,2007-05-22,2008-05-15,2010-11-22
LOAN-1263,Philippines,Europe & Central Asia,Agriculture,Effective,2017-03-06,6528261.09,0.0,6528261.09,72197.77,551547.63,2017-01-10,2017-04-23,2030-05-26
LOAN-1264,Colombia,Latin America,Investment,Disbursing,2016-09-21,196472198.61,0.0,144015158.72,93359141.4,49794595.48,2016-05-06,2017-09-30,2018-09-22
LOAN-1265,Mexico,Latin America,Infrastructure,Fully Repaid,2012-08-30,483581121.58,0.0,483581121.58,415237310.94,49177699.14,2012-05-29,2012-11-12,2025-11-20
LOAN-1266,Egypt,South Asia,Infrastructure,Repaying,2020-10-22,224507018.7,0.0,142174923.05,100383527.93,135755350.85,2020-05-14,2021-07-31,2026-01-04
LOAN-1267,Jordan,Latin America,Infrastructure,Disbursing&Repaying,2000-06-06,94586994.19,0.0,94586994.19,2035439.32,43146699.22,2000-05-27,2001-06-07,2009-09-09
LOAN-1268,Nepal,South Asia,Investment,Repaying,2012-07-20,127090651.88,0.0,127090651.88,48019202.13,97972759.57,2012-06-29,2012-12-15,2025-01-10
LOAN-1269,Colombia,Africa,Investment,Disbursing&Repaying,2017-09-09,277782526.98,0.0,277315718.75,144951141.56,119188377.44,2017-04-01,2018-07-26,2019-11-28
LOAN-1270,Colombia,Latin America,Infrastructure,Disbursing&Repaying,2014-08-20,145879182.17,0.0,88810188.65,25178401.08,94910836.41,2014-04-17,2015-02-05,2020-09-10
LOAN-1271,Kenya,Latin America,Infrastructure,Fully Repaid,2020-11-26,85986548.62,0.0,85986548.62,8433178.08,11113186.38,2020-08-04,2021-02-25,2033-09-29
LOAN-1272,Ghana,Latin America,Climate,Disbursing&Repaying,2013-08-24,273890660.77,0.0,211081308.37,161948749.6,32268610.62,2013-02-17,2014-07-28,2015-05-16
LOAN-1273,Pakistan,Africa,Infrastructure,Disbursing,2013-05-28,93252659.43,0.0,90354918.71,78749733.29,32375770.42,2013-04-04,2013-07-12,2023-04-18
LOAN-1274,Egypt,Europe & Central Asia,Investment,Repaying,2005-06-12,450106676.09,0.0,270010939.24,112281058.44,293884805.51,2005-05-18,2005-11-02,2009-03-13
LOAN-1275,Pakistan,East Asia,Investment,Effective,2003-05-13,226482647.57,0.0,204794225.08,118824991.39,110238809.59,2003-04-17,2003-09-21,2014-02-16
LOAN-1276,Morocco,South Asia,Agriculture,Fully Repaid,2002-04-09,543521392.38,0.0,543521392.38,162184012.68,44580841.72,2001-11-04,2002-12-16,2011-12-13
LOAN-1277,Tanzania,South Asia,Education,Effective,2012-07-21,232724015.95,0.0,172525577.44,54957837.64,170174354.41,2012-06-03,2012-09-06,2018-11-20
LOAN-1278,Nepal,East Asia,Agriculture,Repaying,2018-10-21,250135362.75,0.0,210251512.32,11538847.32,64993169.22,2018-04-30,2019-08-16,2025-03-19
LOAN-1279,Jordan,South Asia,Health,Fully Repaid,2015-06-07,593695151.38,0.0,593695151.38,191882806.57,272142943.53,2015-01-20,2015-12-18,2024-12-17
LOAN-1280,Nigeria,Latin America,Education,Effective,2002-08-17,20507465.82,0.0,17999260.89,474696.57,13494261.64,2002-03-25,2003-03-18,2008-08-31
LOAN-1281,Mexico,South Asia,Agriculture,Disbursing&Repaying,2002-07-05,152474947.13,0.0,90405786.61,43423762.4,98106636.42,2002-01-29,2003-02-18,2011-04-15
LOAN-1282,Mexico,Latin America,Climate,Cancelled,2001-04-07,145747923.98,90412754.42,95377950.79,63359056.81,46506318.76,2000-11-03,2002-02-19,2005-04-10
LOAN-1283,Pakistan,East Asia,Investment,Cancelled,2009-10-24,327564137.9,168980219.79,177030536.16,6048667.31,30177168.07,2009-10-14,2010-05-11,2015-02-25
LOAN-1284,Morocco,Africa,Health,Disbursing,2006-08-17,431577891.45,0.0,431577891.45,327936911.23,126319227.23,2006-02-08,2006-11-27,2009-12-07
LOAN-1285,Peru,Africa,Infrastructure,Disbursing,2015-02-05,576532456.41,0.0,402922750.67,341570062.88,199881883.8,2014-11-05,2015-05-15,2019-06-14
LOAN-1286,Colombia,East Asia,Agriculture,Cancelled,2016-01-03,391262258.06,234490905.9,211032047.54,183992217.26,223086118.55,2015-11-10,2016-08-13,2023-09-16
LOAN-1287,Nepal,Latin America,Agriculture,Cancelled,2001-06-14,110736431.66,62171109.23,44453847.68,28086278.96,53112082.23,2000-12-30,2001-11-04,2014-12-15
LOAN-1288,Indonesia,East Asia,Climate,Repaying,2003-12-24,88682804.05,0.0,88352430.67,18924766.63,69774277.03,2003-06-26,2004-12-15,2012-04-30
LOAN-1289,Egypt,South Asia,Investment,Disbursing,2000-01-21,162801402.13,0.0,97621042.78,5956377.41,39478274.67,1999-10-05,2000-10-01,2010-04-15
LOAN-1290,Mexico,East Asia,Agriculture,Fully Repaid,2010-02-12,298383786.12,0.0,209754867.98,103078066.73,37617667.54,2009-10-10,2010-04-20,2011-09-08
LOAN-1291,Nepal,South Asia,Climate,Fully Repaid,2007-03-21,194636560.23,0.0,194636560.23,12997899.87,34563346.73,2007-02-20,2008-01-25,2010-02-15
LOAN-1292,Vietnam,Europe & Central Asia,Health,Disbursing&Repaying,2007-05-27,591239279.58,0.0,591239279.58,374877737.74,220823436.99,2007-01-26,2007-09-14,2009-06-03
LOAN-1293,Indonesia,Africa,Infrastructure,Disbursing&Repaying,2024-03-24,127302533.65,0.0,70269395.33,44092431.72,75303086.76,2023-09-27,2024-09-14,2031-09-20
